template,count
can you segment the,352
please segment where the,127
can you identify and,116
please identify and segment,113
could you identify and,106
where can we find,102
please segment the area,68
are there any areas,59
can you segment where,46
is there any indication,42
can you locate and,40
which part of the,40
are there any regions,37
can you identify any,36
please locate and segment,36
can you please segment,35
could you segment the,33
in which part of,28
what part of the,28
could you locate and,27
is there any evidence,24
could you highlight the,21
please segment the region,20
what might be causing,18
given the presence of,18
please segment the location,17
what area in the,17
can you segment an,17
what might be the,15
what might cause the,15
based on medical knowledge,15
where can we observe,15
what could be the,13
are there any potential,13
where are the multiple,13
what could be causing,12
where is the increased,12
based on the diagnostic,11
in which region of,11
considering general medical knowledge,10
can you segment and,9
are there any other,9
is there any abnormality,9
in the context of,9
in which region can,9
please segment and explain,8
can you identify the,8
considering the diagnostic report,8
based on the medical,8
where is the small,7
in this ct image,7
where is the abnormal,7
can you locate the,7
can you segment a,7
is there any area,6
which area in the,6
where is the high,6
what area should be,6
where does the abnormal,6
where is the area,6
based on your analysis,6
please segment the part,6
which region in the,6
can you identify a,6
could you please segment,6
are there any abnormalities,5
considering common medical knowledge,5
based on the given,5
what area of the,5
is there a possibility,5
what region of the,5
if there are any,5
in this image what,5
could you please highlight,5
given the information about,5
what type of abnormality,5
are there any signs,5
based on the report,5
what region in the,5
how does the presence,4
can you identify where,4
what abnormality can be,4
where is the localized,4
is there any region,4
where is the lesion,4
could you identify any,4
are there any abnormal,4
are there any visible,4
could you identify the,4
considering the medical knowledge,4
given the patient s,4
if there is any,4
are there any structures,4
where are the high,3
where is the patchy,3
is there any other,3
which areas in the,3
given the information provided,3
where is the soft,3
in which vessel can,3
what could cause a,3
where are the nodular,3
which area of the,3
what area may indicate,3
are there any specific,3
in the image can,3
where does the reduced,3
what area might require,3
could you please identify,3
is there any abnormal,3
is it possible to,3
what areas in the,3
given the medical knowledge,3
in the ct image,3
what might cause a,3
where can you find,3
is there any part,3
based on the information,3
are there any indications,3
please segment the affected,3
what is the possible,3
is there an area,3
given the diagnosis of,3
could you pinpoint the,3
where does the increased,3
is there a specific,3
where is the linear,3
in the image please,3
identify and segment the,3
given the diagnostic report,3
what could cause the,3
where can emphysema be,3
can you locate where,3
where does the abnormality,2
could you locate the,2
is there a part,2
can you segment any,2
considering the risk factors,2
are there any postoperative,2
could you pinpoint and,2
is there any visible,2
considering the patient s,2
what region could potentially,2
where can the postoperative,2
considering the medical condition,2
considering general knowledge about,2
where do the multiple,2
in what part of,2
in which area of,2
what is the density,2
what might explain the,2
in the provided ct,2
where are the round,2
where are the cysts,2
in light of the,2
what area might indicate,2
where is the suspicious,2
based on the image,2
where does the nodular,2
what shape does the,2
is there any possible,2
where are the linear,2
can you highlight the,2
how might the presence,2
which area appears unusual,2
could you please locate,2
where is the inguinal,2
is there an abnormality,2
are there any noticeable,2
what type of lesion,2
which area could potentially,2
considering the diagnosis of,2
